Designator,Footprint,Quantity,Value,LCSC Part #
"C1,C2",0603,2,100nF,C14663
"C47,C49,C50,C51",0603,4,0.1uF,C14663
C3,0805,1,"10uF,50v",C440198
C6,0805,1,"10uF,16v",C440198
"C4,C5,C7,C8",0603,4,"22uF,16V",C2762594
"C10,C9",0805,2,"0.1uF,50V",C49678
C11,CP_Elec_8x10,1,"47uF,50v",C165625
"C12,C13,C14,C15,C16,C17,C18,C19,C20,C23,C26,C27,C31,C32,C40,C43",0402,16,100nf,C1525
C21,0402,1,1uF,C52923
"C22,C25",0402,2,4.7uf,C23733
"C24,C28",0402,2,18pF,C1549
C29,0402,1,220nf,C16772
"C30,C44",0402,2,10uf,C15525
C33,0402,1,10nf,C15195
C34,0402,1,1nf,C1523
C35,0402,1,2.2nF,C1531
C36,0402,1,4.7pF,C1569
C37,0402,1,1pF,C1550
C38,0402,1,1.5pF,C1552
"C39,C46",0402,2,22pF,C1555
C41,0402,1,33nf,C53084511
"C42,C45",0402,2,2.2uF,C12530
C48,CP_Elec_8x10,1,470uF,C165531
D1,D_SMB_TVS,1,SMBJ33CA,C284016
"D2,D3,D4",LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,3,SK6812,C5378720
DZ1,D_SOD-123F_Zener,1,MMSZ5245,C3763972
"J1,J4",PinHeader_1x03_P2.54mm_Vertical,2,Conn_01x03_Pin,C49257
"J2,J5",JST_GH_BM06B-GHS-TBT_1x06-1MP_P1.25mm_Vertical,2,Conn_01x04_Pin,C189892
J7,AMASS_XT30UPB-M_1x02_P5.0mm_Vertical,1,Conn_01x02_Pin,C428721
J8,AMASS_XT60-M_1x02_P7.20mm_Vertical,1,Conn_01x02_Pin,C98733
J9,AMASS_XT60-F_1x02_P7.20mm_Vertical,1,Conn_01x02_Pin,C98734
"J11,J12,J10,J3",JST_GH_BM04B-GHS-TBT_1x04-1MP_P1.25mm_Vertical,4,Conn_01x04_Pin,C161692
J13,microSD_HC_Hirose_DM3AT-SF-PEJM5,1,Micro_SD_Card,C114218
J14,U.FL_Hirose_U.FL-R-SMT-1_Vertical,1,50ohm,C88374
L1,L_Wuerth_MAPI-4020,1,4.7uH,C3223759
L2,L_Wuerth_MAPI-4020,1,3.9uH,C96899
L3,0402,1,2.7nH,C275282
L4,0402,1,8.2nH,C16208
L5,0402,1,3.9nH,C14033
Q1,PowerPAK_SO-8L_Single,1,Q_PMOS-E_Generic_SSSGD,C511548
Q2,TDSON-8-1,1,AON6262E,C431185
"R1,R4,R6",0603,3,100k,C25803
R2,0603,1,15k,C22809
R5,0603,1,27k,C22967
"R10,R11,R12,R14,R15,R16,R8,R9",0402,8,10k,C25744
R13,0402,1,47k,C25792
"R17,R18,R19",0402,3,22ohm,C25092
"R20,R22,R24,R25,R27,R28",0402,6,22ohm,C25092
R21,0402,1,22k,C25768
R23,0402,1,1M,C26083
R31,0603,1,330,C23138
U1,TSOT-23-6,1,AP63205WU,C2071056
U2,TSOT-23-6,1,AP63203WU,C780769
U3,TO-92_Inline,1,US1881,C1526816
U4,SOT-23-6,1,LM74700,C2941042
U5,ST_HLGA-10_2x2mm_P0.5mm_LayoutBorder3x2y,1,LPS22HBTR,C94049
U6,LGA-12_2x2mm_P0.5mm,1,LIS2MDLTR,C919695
U7,LQFP-100_14x14mm_P0.5mm,1,STM32F765VITx,C710319
U8,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,1,LSM6DSO,C2655100
U9,QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm,1,nRF24L01P,C8791
U10,SOT-23-5,1,SN74LV1T34DBV,C47117565
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,8MHz,C7424753
Y2,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,16MHz,C13738
"R3,R7",0603,2,10k,C95204
